0	20759	0.9666592
0	1722	0.96388894
0	20224	0.9614898
1	397	0.97488767
1	4719	0.97488767
1	57364	0.96069425
2	84766	0.930755
2	91195	0.92499346
2	94071	0.9181703
3	10228	0.97187066
3	16094	0.9689538
3	1452	0.96848696
4	1683	0.8834199
4	2156	0.87848276
4	1719	0.8679866
5	13384	0.95176387
5	80938	0.9437493
5	8572	0.9386004
6	23610	0.7516488
6	26396	0.74838775
6	4178	0.7373138
7	39985	0.8999618
7	85069	0.8875019
7	92607	0.8199675
8	119016	0.90763474
8	116293	0.88760626
8	106370	0.88360864
9	77531	0.96246755
9	63505	0.9470394
9	87754	0.91812617
