topic_id	doc_id	probability
0	108455	0.982727
0	109397	0.975641
0	97138	0.973611
0	100029	0.971212
0	106524	0.970312
1	65349	0.989785
1	65324	0.988953
1	70630	0.985606
1	70665	0.985385
1	70659	0.985385
2	52841	0.973611
2	39921	0.969355
2	55928	0.968333
2	58667	0.968333
2	48528	0.968333
3	17360	0.976829
3	14012	0.974324
3	9868	0.974324
3	16399	0.974324
3	17362	0.972857
4	79601	0.978889
4	8298	0.976829
4	8279	0.976829
4	16183	0.973611
4	16247	0.973611
5	9899	0.975000
5	26457	0.972857
5	26449	0.971212
5	9052	0.968333
5	11084	0.967241
6	9352	0.978409
6	9354	0.978409
6	9404	0.971212
6	10737	0.970312
6	10663	0.970312
7	39053	0.971212
7	44567	0.968333
7	56552	0.967241
7	8071	0.967241
7	5482	0.967241
8	85428	0.972857
8	66424	0.972857
8	81602	0.970312
8	68205	0.970312
8	62874	0.970312
9	99799	0.971212
9	92925	0.967241
9	107154	0.962000
9	101739	0.960417
9	101827	0.958696
10	111566	0.969355
10	75678	0.968333
10	70406	0.968333
10	117932	0.967241
10	112034	0.966071
11	104259	0.968333
11	106037	0.967241
11	104202	0.966071
11	104765	0.966071
11	105309	0.964815
12	76651	0.947222
12	119301	0.936667
12	106006	0.936667
12	28132	0.936667
12	41561	0.936667
13	3316	0.960417
13	769	0.950000
13	7138	0.947222
13	104319	0.947222
13	107585	0.944118
14	46109	0.979787
14	31022	0.977381
14	46771	0.977381
14	49693	0.976829
14	32843	0.976250
15	12076	0.975000
15	11570	0.972059
15	11516	0.972059
15	1309	0.970312
15	10802	0.969355
16	36698	0.967241
16	37490	0.967241
16	37515	0.967241
16	39752	0.966071
16	39238	0.964815
17	81757	0.970312
17	68372	0.969355
17	65202	0.968333
17	72941	0.968333
17	76444	0.968333
18	101822	0.970312
18	101800	0.970312
18	118390	0.969355
18	102395	0.968333
18	110685	0.967241
19	71640	0.963462
19	82318	0.963462
19	88280	0.962000
19	71225	0.960417
19	88760	0.958696
